Author,Book,Chapter,Page,Location,Image,Latitude,Longitude,Context.esp,Context.eng,Characters,Reality,Category,Structure.type,Exactness
Muñoz Gijón,Sevilla Este,38,368,El Punto bodega,,37.393462,-5.985173,Villanueva se está invitado a reunir con el Hermano Mayor y miembros de Serva la Bari,,"Villanueva, Barbudo, Hermano Mayor, Serva la Bari",Fictional,Investigador,Business,1
Muñoz Gijón,Sevilla Este,39,386,"Los puntos cardinales de la Campana -- calle Campana, streetview has a clock face",,37.569245,-5.427227,"El septimo cuerpo esta descubierto aqui, la de un empresario de la noche sevillana",,Javier Sánchez (V7),Real,Cuerpo,Municipal,1
Muñoz Gijón,Sevilla Este,41,398,Bar Casa Ricardo,,37.397578,-5.995879,Villanueva descansa aquí y come unas croquetas,,Villanueva,Real,Descanso,Bar Restaurant,1
Muñoz Gijón,Sevilla Este,42,408,El hotel HABA Triana,https://d.otcdn.com/imglib/hotelfotos/8/155/hotel-ribera-de-triana-sevilla-032.jpg,37.389133,-6.007477,Villanueva y Jiménez discuten el caso hasta ya,,"Villanueva, Jiménez",Real,Investigador,Hotel,1
Muñoz Gijón,Sevilla Este,43,414,El hotel HABA Triana,https://d.otcdn.com/imglib/hotelfotos/8/155/hotel-ribera-de-triana-sevilla-032.jpg,37.389132,-6.007477,Villanueva se da cuenta de quien es el responsable para los asesinatos,,Villanueva,Real,Pista,Hotel,1
Muñoz Gijón,Sevilla Este,45,422,Fuera de FIBES,,37.405221,-5.932781,Villanueva y Jiménez vienen a FIBES ,,"Villanueva, Jiménez",Real,Investigador,Exterior,1
Muñoz Gijón,Sevilla Este,46,434,Dentro de FIBES,,37.404194,-5.932821,Villanueva y Jiménez entran en FIBES y intentan averiguar que estan haciendo Serva la Bari ,,"Villanueva, Jiménez, Serva la Bari",Semi-real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,47,442,Dentro de FIBES,,37.404196,-5.932823,"Villanueva afronta a los Hermanos Mayores y dispara a Barbudo, cuando entra José Manuel Poto",,"Villanueva, Barbudo, Serva la Bari, Hermano Mayor, José Manuel Poto, Barbudo",Semi-real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,48,462,Dentro de FIBES,,37.404196,-5.932823,Jiménez tiene que escoger entre salvar a Sevilla y parar la máquina o ayudar a la mision de Serva la Bari,,"Villanueva, Jiménez, Serva la Bari, Hermano Mayor, José Manuel Poto",Semi-real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,49,474,Hospital Virgen del Rocío,https://www.diariodesevilla.es/2018/12/08/sevilla/hospital-Virgen-Rocio-Sevilla_1307579815_92304075_667x375.jpg,37.361769,-5.980586,Jiménez viene a ver Villanueva y José Manuel Poto,,"Villanueva, Jiménez, José Manuel Poto",Real,Descanso,Municipal,1
