Author,Book,City,Chapter,Page,Location,Image,Longitude,Latitude,Context.esp,Context.eng,Characters,Reality,Category,Structure.type,Exactness
Muñoz Gijón,Sevilla Este,Sevilla,30,304,Tanatorio del (hospital) Virgen del Rocío,https://www.diariodesevilla.es/2018/12/08/sevilla/hospital-Virgen-Rocio-Sevilla_1307579815_92304075_667x375.jpg,-5.979752,37.362094,Villanueva y Jiménez aprenden cómo mueron los últimas víctimas y quienes eran,Villanueva and Jiménez learn about the cause of death and the identities of the latest victims,"Villanueva, Jiménez, Antonio Povedano",Real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,31,310,La hemeroteca,,-5.988632,37.392799,"Villanueva repasa todos los periódicos desde 1980, buscando alguna pista",Villanueva goes over all the old newspaper articles since 1980,Villanueva,Real,Pista,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,31,310,Bar Tremendo,http://sevilla.abc.es/Media/201412/12/bar-tremendo-cervezas3--644x362.jpg,-5.988707,37.392967,Jiménez toma una cerveza en el tremendo mientas Villanueva va en la hemeroteca,Jiménez drinks a beer at Tremendo while Villanueva is at the archives,Jiménez,Real,Descanso,Bar Restaurant,1
Muñoz Gijón,Sevilla Este,Sevilla,33,326,Muebles Quealta en Dos Hermanas,,-5.931972,37.275925,Villanueva y Jiménez hablan con el dueño de muebles quealta sobre el acidente en el año 2000,Villanueva and Jiménez talk to the owner of muebles quealta about the accident in 2000,"Villanueva, Jiménez, don Rafael",Semi-real,Investigador,Business,1
Muñoz Gijón,Sevilla Este,Sevilla,35,342,Palacio de la condesa del Arsa,,-5.993689,37.392248,Villanueva y Jiménez vienen a preguntar a la condesa más informacion sobre el terreno en su nombre,Villanueva and Jiménez come to talk to the countess about the land in her name,"Villanueva, Jiménez, Condesa del Arsa",Semi-real,Investigador,Home,1
Muñoz Gijón,Sevilla Este,Sevilla,37,362,Puente de los bomberos,,-5.984333,37.384871,Villanueva y Jiménez buscan el punto desde cual uno puede ver diez señales,Villanueva and Jiménez look for the point from which they can see 10 signs,"Villanueva, Jiménez",Fictional,Cuerpo,Home,5
Muñoz Gijón,Sevilla Este,Sevilla,38,368,El Punto bodega,,-5.985173,37.393462,Villanueva se está invitado a reunir con el Hermano Mayor y miembros de Serva la Bari,Villanueva is invited to have a drink with Hermano Mayor and members of Serva la Bari,"Villanueva, Barbudo, Hermano Mayor, Serva la Bari",Real,Investigador,Business,1
Muñoz Gijón,Sevilla Este,Sevilla,39,386,"Los puntos cardinales de la Campana -- calle Campana, streetview has a clock face",,-5.994817,37.392774,"El septimo cuerpo esta descubierto aqui, la de un empresario de la noche sevillana","The seventh body is found here, the owner of a sevillan nightclub",Javier Sánchez (V7),Real,Cuerpo,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,41,398,Bar Casa Ricardo,,-5.995879,37.397578,Villanueva descansa aquí y come unas croquetas,"Villanueva takes a break here, and tries some croquettes",Villanueva,Real,Descanso,Bar Restaurant,1
Muñoz Gijón,Sevilla Este,Sevilla,42,408,El hotel HABA Triana,https://d.otcdn.com/imglib/hotelfotos/8/155/hotel-ribera-de-triana-sevilla-032.jpg,-6.007477,37.389134,Villanueva y Jiménez discuten el caso hasta ya,Villanueva and Jiménez discuss the case so far,"Villanueva, Jiménez",Real,Investigador,Hotel,1
Muñoz Gijón,Sevilla Este,Sevilla,43,414,El hotel HABA Triana,https://d.otcdn.com/imglib/hotelfotos/8/155/hotel-ribera-de-triana-sevilla-032.jpg,-6.007477,37.389134,Villanueva se da cuenta de quien es el responsable para los asesinatos,Villanueva realizes who is responsible for the murders,Villanueva,Real,Pista,Hotel,1
Muñoz Gijón,Sevilla Este,Sevilla,45,422,Fuera de FIBES,,-5.932821,37.404194,Villanueva y Jiménez vienen a FIBES ,Villanueva and Jiménez come to FIBES,"Villanueva, Jiménez",Real,Investigador,Exterior,1
Muñoz Gijón,Sevilla Este,Sevilla,46,434,Dentro de FIBES,,-5.932821,37.404194,Villanueva y Jiménez entran en FIBES y intentan averiguar que estan haciendo Serva la Bari ,Villanueva and Jiménez enter FIBES and try to figure out what Serva la Bari is trying to do,"Villanueva, Jiménez, Serva la Bari",Semi-real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,47,442,Dentro de FIBES,,-5.932821,37.404194,"Villanueva afronta a los Hermanos Mayores y dispara a Barbudo, cuando entra José Manuel Poto","Villanueva confronts the Hermano Mayores, and shoots Barbudo when José Manuel Poto enters","Villanueva, Barbudo, Serva la Bari, Hermano Mayor, José Manuel Poto, Barbudo",Semi-real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,48,462,Dentro de FIBES,,-5.932821,37.404194,Jiménez tiene que escoger entre salvar a Sevilla y parar la máquina o ayudar a la mision de Serva la Bari,Jiménez has to choose between saving the city and letting Serva la Bari achieve their plan,"Villanueva, Jiménez, Serva la Bari, Hermano Mayor, José Manuel Poto",Semi-real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,49,474,Hospital Virgen del Rocío,https://www.diariodesevilla.es/2018/12/08/sevilla/hospital-Virgen-Rocio-Sevilla_1307579815_92304075_667x375.jpg,-5.980586,37.361769,Jiménez viene a ver Villanueva y José Manuel Poto,Jiménez pays Villanueva and Poto a visit in the hospital,"Villanueva, Jiménez, José Manuel Poto",Real,Descanso,Municipal,1
