Author,Book,City,Chapter,Page,Location,Latitude,Longitude,Image,Context esp,Context eng,Characters,Reality,Category,Structure type,Exactness
Riera,Naturaleza,Barcelona,4,110,la comisaría de Sabadell,41.541092,2.100651,,esta comisaría se encarga del caso cuando se convierte en un asesinato,This police district is placed in charge of the case now that it is a homicide,Mozos,Real,Investigador,Municipal,1
Riera,Naturaleza,Barcelona,5,111,el hotel de Bellaterra,41.491453,2.100659,,"los padres de Laura están instalados allí, el cónsul italiano va allí para darles la noticia del homicidio","Laura's parents move in here, the Italian consul come here to inform them of Laura's death",Las señoras Cremona-Hogarth,Real,Víctima,Hotel,1
Riera,Naturaleza,Barcelona,5,113,la comisaría de Cerdañola,41.48599925,2.123474619,,los padres de Laura están allí después de enterarse del asesinato de Laura,Laura's parents are here after Laura's body is found,Las señoras Cremona-Hogarth,Real,Víctima,Municipal,1
Riera,Naturaleza,Barcelona,5,117,el bosque,41.504312,2.109593,,Rosario Hurtado es asaltada por un loco,Rosario H is attacked by a crazy guy,Mozos,Real,Investigador,Exterior,3
Riera,Naturaleza,Barcelona,5,121,el número 66 de la Carretera de La Bordeta,41.373083,2.144705,,Bru y Laura están allí antes de la entrevista de Laura en TV3,Marcel B and Laura are here before Laura goes on TV3,"Bru, Laura",Real,Investigador,Home,1
Riera,Naturaleza,Barcelona,5,123,la facultad de Filosofía y Letras,41.502714,2.107197231,,los anti-Bolonia todavía ocupan el edificio,the anti-Bolonia protesters still occupy this building,Narrador,Real,Víctima,Municipal,1
Riera,Naturaleza,Barcelona,5,124,tienda de ropa infantil de la familia Bru,41.227484,1.723648,,"en la calle Mayor de Vilanova, los padres hablan con la prensa aquí","on Mayor de Vilanova street, Marcel's parents speak to press here",Bru,Fictional,Víctima,Business,4
Riera,Naturaleza,Barcelona,5,127,el bosque,41.504672,2.109233,,el loco asalta a otro policía,The crazy guy attacks another police officer,Mozos,Real,Investigador,Exterior,3
Riera,Naturaleza,Barcelona,6,130,la comisaría de Sabadell,41.540372,2.100651,,los policías llevan al loco aquí,The police take the crazy guy to here,Mozos,Real,Investigador,Municipal,1
Riera,Naturaleza,Barcelona,6,131,Hospital Clínico de Barcelona,41.389029,2.152221,,el cónsul de Italia y los padres de Laura van aquí para ver el cadáver,the Italian consul and Laura's parents go here to see the body,Las señoras Cremona-Hogarth,Real,Víctima,Municipal,1
